Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Ottikon (Gossau ZH);8626;0;Gossau (ZH);115;ZH;2701404.153999999;1239266.307;de
Grüningen;8627;0;Grüningen;116;ZH;2700106.3110000007;1237944.3460000008;de
Hinwil;8340;0;Hinwil;117;ZH;2706524.739;1239877.859000001;de
Wernetshausen;8342;0;Hinwil;117;ZH;2707983.7690000013;1239658.4739999995;de
Rüti ZH;8630;0;Rüti (ZH);118;ZH;2706756.409000002;1235203.6730000004;de
Aathal-Seegräben;8607;0;Seegräben;119;ZH;2700585.8550000004;1244029.1050000004;de
Wald ZH;8636;0;Wald (ZH);120;ZH;2711773.2809999995;1237290.6490000002;de
Laupen ZH;8637;0;Wald (ZH);120;ZH;2712733.8269999996;1235981.3839999996;de
Wetzikon ZH;8620;0;Wetzikon (ZH);121;ZH;2703395.907059642;1242180.5484999996;de
Wetzikon ZH;8623;0;Wetzikon (ZH);121;ZH;2704513.556046247;1243287.8794999998;de
Adliswil;8134;0;Adliswil;131;ZH;2681938.4120000005;1240783.7630000003;de
Kilchberg ZH;8802;0;Kilchberg (ZH);135;ZH;2683478.103;1241647.6779999994;de
Langnau am Albis;8135;0;Langnau am Albis;136;ZH;2682904.1330000013;1238062.2630000003;de
Oberrieden;8942;0;Oberrieden;137;ZH;2686107.9880000018;1236859.1959999986;de
Richterswil;8805;0;Richterswil;138;ZH;2695631.5040000007;1229360.0989999995;de
Samstagern;8833;0;Richterswil;138;ZH;2693942.346000001;1227812.5080000013;de
Rüschlikon;8803;0;Rüschlikon;139;ZH;2684407.1209999993;1240427.3539999984;de
Gattikon;8136;0;Thalwil;141;ZH;2684120.1380000003;1237676.4090000018;de
Thalwil;8800;0;Thalwil;141;ZH;2685516.671;1238319.3460000008;de
Erlenbach ZH;8703;0;Erlenbach (ZH);151;ZH;2687193.4860000014;1239686.2369999997;de
Herrliberg;8704;0;Herrliberg;152;ZH;2689134.3850000016;1237813.7289999984;de
Hombrechtikon;8634;0;Hombrechtikon;153;ZH;2700313.4869999997;1234409.234000001;de
Feldbach;8714;0;Hombrechtikon;153;ZH;2701724.364;1232869.1429999992;de
Forch;8127;0;Küsnacht (ZH);154;ZH;2691437.226;1242318.8449999988;de
Küsnacht ZH;8700;0;Küsnacht (ZH);154;ZH;2686560.666000001;1241297.6290000007;de
Männedorf;8708;0;Männedorf;155;ZH;2695008.9360000007;1234513.5549999997;de
Meilen;8706;0;Meilen;156;ZH;2690904.598000001;1235938.4809999987;de
Oetwil am See;8618;0;Oetwil am See;157;ZH;2697205.392000001;1236271.4160000011;de
Stäfa;8712;0;Stäfa;158;ZH;2697854.545000002;1232808.7850000001;de
Uerikon;8713;0;Stäfa;158;ZH;2699808.7239999995;1232354.1779999994;de
Uetikon am See;8707;0;Uetikon am See;159;ZH;2693716.881000001;1235285.4010000005;de
Zumikon;8126;0;Zumikon;160;ZH;2689540.5469999984;1242957.6259999983;de
Zollikerberg;8125;0;Zollikon;161;ZH;2687924.800999999;1244779.6369999982;de
Zollikon;8702;0;Zollikon;161;ZH;2685818.6999999993;1243666.6669999994;de
Fehraltorf;8320;0;Fehraltorf;172;ZH;2699186.2019999996;1249307.5359999985;de
Hittnau;8335;0;Hittnau;173;ZH;2704660.1510000005;1246488.175999999;de
Kemptthal;8310;0;Lindau;176;ZH;2695550.9279999994;1256551.6950000003;de
Grafstal;8310;1;Lindau;176;ZH;2695003.517999999;1255548.6000000015;de
Winterberg ZH;8312;0;Lindau;176;ZH;2694518.7030000016;1256951.1319999993;de
Lindau;8315;0;Lindau;176;ZH;2692927.8280000016;1255292.4400000013;de
Tagelswangen;8317;0;Lindau;176;ZH;2693038.1000000015;1254021.2430000007;de
Pfäffikon ZH;8330;0;Pfäffikon;177;ZH;2701404.0639999993;1246909.6380000003;de
Auslikon;8331;0;Pfäffikon;177;ZH;2703391.1810000017;1244751.0009999983;de
Madetswil;8322;0;Russikon;178;ZH;2702098.6939999983;1251919.0659999996;de
Gündisau;8322;2;Russikon;178;ZH;2703330.1799999997;1250589.6099999994;de
Russikon;8332;0;Russikon;178;ZH;2700793.245000001;1250344.3949999996;de
Rumlikon;8332;2;Russikon;178;ZH;2699706.9389999993;1251781.432;de
Weisslingen;8484;0;Weisslingen;180;ZH;2700069.1959999986;1254471.688000001;de
Neschwil;8484;2;Weisslingen;180;ZH;2701818.2019999996;1254142.7069999985;de
Theilingen;8484;3;Weisslingen;180;ZH;2700292.401999999;1253105.006000001;de
Wila;8492;0;Wila;181;ZH;2706184.9329999983;1253019.2829999998;de
Wildberg;8489;0;Wildberg;182;ZH;2703969.6849999987;1253880.5190000013;de
Schalchen;8489;1;Wildberg;182;ZH;2704729.4239999987;1251604.1779999994;de
Ehrikon;8489;2;Wildberg;182;ZH;2703408.6900000013;1252918.1730000004;de
Gockhausen;8044;1;Dübendorf;191;ZH;2687882.7349999994;1248707.3979999982;de
Dübendorf;8600;0;Dübendorf;191;ZH;2689039.1779999994;1250030.5859999992;de
Egg b. Zürich;8132;0;Egg;192;ZH;2694747.197999999;1239619.3940000013;de
Hinteregg;8132;2;Egg;192;ZH;2694193.1160000004;1240198.4930000007;de
Esslingen;8133;0;Egg;192;ZH;2696145.539000001;1238274.3110000007;de
Fällanden;8117;0;Fällanden;193;ZH;2690613.796;1247324.4659999982;de
Pfaffhausen;8118;0;Fällanden;193;ZH;2689480.5940000005;1246774.4100000001;de
Benglen;8121;0;Fällanden;193;ZH;2690551.5610000007;1246283.2140000015;de
Greifensee;8606;2;Greifensee;194;ZH;2693540.3139999993;1246753.4670000002;de
Binz;8122;0;Maur;195;ZH;2689784.272999998;1245779.1059999987;de
Ebmatingen;8123;0;Maur;195;ZH;2690768.0940000005;1245208.2349999994;de
Maur;8124;0;Maur;195;ZH;2693275.4880000018;1243727.5769999996;de
Mönchaltorf;8617;0;Mönchaltorf;196;ZH;2697038.4629999995;1240712.9910000004;de
Schwerzenbach;8603;0;Schwerzenbach;197;ZH;2691638.045000002;1248370.511;de
Nänikon;8606;0;Uster;198;ZH;2694770.1570000015;1247350.9079999998;de
Uster;8610;0;Uster;198;ZH;2696590.153000001;1244675.0100000016;de
Sulzbach;8614;2;Uster;198;ZH;2698874.1059999987;1242834.329;de
Wermatswil;8615;0;Uster;198;ZH;2698753.6559999995;1246517.8409999982;de
Freudwil;8615;2;Uster;198;ZH;2697836.381000001;1247907.2419999987;de
Riedikon;8616;0;Uster;198;ZH;2696208.2490000017;1243186.9750000015;de
Volketswil;8604;0;Volketswil;199;ZH;2694588.4120000005;1249446.6130000018;de
Gutenswil;8605;0;Volketswil;199;ZH;2696600.7699999996;1249044.3729999997;de
Brüttisellen;8306;0;Wangen-Brüttisellen;200;ZH;2689874.096000001;1253172.4910000004;de
Wangen b. Dübendorf;8602;0;Wangen-Brüttisellen;200;ZH;2691158.8869999982;1251662.1220000014;de
Altikon;8479;0;Altikon;211;ZH;2701260.546;1270261.1180000007;de
Brütten;8311;0;Brütten;213;ZH;2693140.9959999993;1258879.3649999984;de
Rutschwil (Dägerlen);8471;0;Dägerlen;214;ZH;2697211.2989999987;1268112.732999999;de
Dägerlen;8471;2;Dägerlen;214;ZH;2696592.9959999993;1268587.8209999986;de
Oberwil (Dägerlen);8471;3;Dägerlen;214;ZH;2696158.484000001;1269881.1119999997;de
Berg (Dägerlen);8471;4;Dägerlen;214;ZH;2697420.1209999993;1268915.2679999992;de
Bänk (Dägerlen);8471;5;Dägerlen;214;ZH;2697902.4750000015;1267217.1209999993;de
Dättlikon;8421;0;Dättlikon;215;ZH;2689282.8660000004;1264468.0089999996;de
Dinhard;8474;0;Dinhard;216;ZH;2700078.493999999;1268012.8790000007;de
Ellikon an der Thur;8548;0;Ellikon an der Thur;218;ZH;2704363.969999999;1268844.6609999985;de
Elsau;8352;0;Elsau;219;ZH;2702749.1889999993;1262604.0949999988;de
Hagenbuch ZH;8523;0;Hagenbuch;220;ZH;2709145.344999999;1264371.6229999997;de
Hettlingen;8442;0;Hettlingen;221;ZH;2695562.2989999987;1267179.381000001;de
Aesch (Neftenbach);8412;0;Neftenbach;223;ZH;2693410.533;1266354.6829999983;de
Riet (Neftenbach);8412;1;Neftenbach;223;ZH;2693980.765999999;1265828.3110000007;de
Hünikon (Neftenbach);8412;2;Neftenbach;223;ZH;2692552.151999999;1267549.7089999989;de
Neftenbach;8413;0;Neftenbach;223;ZH;2692563.9010000005;1264927.289999999;de
Pfungen;8422;0;Pfungen;224;ZH;2690982.649;1263492.629999999;de
Rickenbach ZH;8545;0;Rickenbach (ZH);225;ZH;2702012.5709999986;1267628.1680000015;de
Rickenbach Sulz;8545;1;Rickenbach (ZH);225;ZH;2701580.333999999;1266425.2309999987;de
Schlatt ZH;8418;0;Schlatt (ZH);226;ZH;2704590.2490000017;1258388.5340000018;de
Seuzach;8472;0;Seuzach;227;ZH;2697861.4690000005;1265866.2109999992;de
Turbenthal;8488;0;Turbenthal;228;ZH;2706270.8999999985;1254771.925999999;de
Schmidrüti;8495;0;Turbenthal;228;ZH;2710539.1330000013;1252587.175999999;de
Ricketwil (Winterthur);8352;2;Winterthur;230;ZH;2702669.2989999987;1260354.1119999997;de
Winterthur;8400;0;Winterthur;230;ZH;2697279.147;1260895.569880492;de
Winterthur;8404;0;Winterthur;230;ZH;2699485.4014999997;1262695.2036524042;de
Reutlingen (Winterthur);8404;2;Winterthur;230;ZH;2698853.0480000004;1264961.7410000004;de
Stadel (Winterthur);8404;3;Winterthur;230;ZH;2699603.8379999995;1265707.4609999992;de
Winterthur;8405;0;Winterthur;230;ZH;2700976.918138365;1259392.6925000008;de
Winterthur;8406;0;Winterthur;230;ZH;2695114.822999999;1259926.568680733;de
Winterthur;8408;0;Winterthur;230;ZH;2693769.0635;1262631.145826763;de
Winterthur;8409;0;Winterthur;230;ZH;2701155.6459999997;1262984.8811697608;de
Sennhof (Winterthur);8482;0;Winterthur;230;ZH;2699466.5529999994;1258434.8409999982;de
Kollbrunn;8483;0;Zell (ZH);231;ZH;2700891.403000001;1257139.0859999992;de
Rikon im Tösstal;8486;0;Zell (ZH);231;ZH;2702434.6909999996;1255767.5650000013;de
Zell ZH;8487;0;Zell (ZH);231;ZH;2704382.300999999;1256224.1959999986;de
Rämismühle;8487;1;Zell (ZH);231;ZH;2704123.280000001;1255446.5890000015;de
Aesch ZH;8904;0;Aesch (ZH);241;ZH;2675547.079999998;1243424.8869999982;de
Birmensdorf ZH;8903;0;Birmensdorf (ZH);242;ZH;2675748.6939999983;1245018.364;de
Dietikon;8953;0;Dietikon;243;ZH;2672846.655000001;1250902.7829999998;de
Fahrweid;8951;0;Geroldswil;244;ZH;2673726.971999999;1251525.6999999993;de
Geroldswil;8954;0;Geroldswil;244;ZH;2673324.2140000015;1252856.857999999;de
Oberengstringen;8102;0;Oberengstringen;245;ZH;2677266.833999999;1251343.4979999997;de
Oetwil an der Limmat;8955;0;Oetwil an der Limmat;246;ZH;2672155.9420000017;1253478.6240000017;de
Schlieren;8952;0;Schlieren;247;ZH;2676033.0210000016;1250018.8990000002;de
Uitikon Waldegg;8142;0;Uitikon;248;ZH;2676688.344999999;1247163.7950000018;de
Unterengstringen;8103;0;Unterengstringen;249;ZH;2676285.3779999986;1251881.3990000002;de
Urdorf;8902;0;Urdorf;250;ZH;2674389.1909999996;1248448.074000001;de
Weiningen ZH;8104;0;Weiningen (ZH);251;ZH;2675258.9230000004;1252680.6240000017;de
Zürich;8001;0;Zürich;261;ZH;2683284.989500001;1247385.9113530102;de
Zürich;8002;0;Zürich;261;ZH;2682633.6619999986;1246102.0341832852;de
Zürich;8003;0;Zürich;261;ZH;2681380.488323015;1247418.3890000004;de
Zürich;8004;0;Zürich;261;ZH;2681918.0249530617;1248028.8600000013;de
Zürich;8005;0;Zürich;261;ZH;2681701.754888905;1249000.387;de
Zürich;8006;0;Zürich;261;ZH;2683401.3835210884;1248912.8015;de
Zürich;8008;0;Zürich;261;ZH;2684827.365338693;1245360.892000001;de
Zürich;8032;0;Zürich;261;ZH;2685037.286176228;1246814.829500001;de
Zürich;8037;0;Zürich;261;ZH;2681953.835000001;1250308.0074301884;de
Zürich;8038;0;Zürich;261;ZH;2682996.749;1243993.3643453028;de
Zürich;8041;0;Zürich;261;ZH;2681400.1305;1243358.0465884916;de
Zürich;8044;0;Zürich;261;ZH;2685649.0378381447;1248349.892000001;de
Zürich;8045;0;Zürich;261;ZH;2680624.190797659;1245077.091500001;de
Zürich;8046;0;Zürich;261;ZH;2680711.467;1252924.289465604;de
Zürich;8047;0;Zürich;261;ZH;2679179.3334651394;1247534.6519999988;de
Zürich;8048;0;Zürich;261;ZH;2678922.3545629634;1248960.545;de
Zürich;8049;0;Zürich;261;ZH;2680142.3267266615;1251417.7799999993;de
Zürich;8050;0;Zürich;261;ZH;2683936.0179204587;1251830.5604999997;de
Zürich;8051;0;Zürich;261;ZH;2686070.1849958436;1250494.9440000001;de
Zürich;8052;0;Zürich;261;ZH;2683149.824321597;1253212.3065000009;de
Zürich;8053;0;Zürich;261;ZH;2687537.085256765;1246250.8774999995;de
Zürich;8055;0;Zürich;261;ZH;2679440.756064834;1246459.1970000006;de
Zürich;8057;0;Zürich;261;ZH;2683697.5970556987;1250491.5015000012;de
Zürich;8064;0;Zürich;261;ZH;2679008.5970267328;1250286.0814999994;de
Waltalingen;8468;0;Stammheim;292;ZH;2700750.4970000014;1275506.3999999985;de
Guntalingen;8468;2;Stammheim;292;ZH;2699996.6510000005;1276849.0309999995;de
Unterstammheim;8476;0;Stammheim;292;ZH;2701723.3550000004;1277563.8469999991;de
Oberstammheim;8477;0;Stammheim;292;ZH;2702399.030000001;1276817.052000001;de
Wilen b. Neunforn;8525;2;Stammheim;292;ZH;2702160.721999999;1273317.0179999992;de
Au ZH;8804;0;Wädenswil;293;ZH;2691173.272;1233596.4160000011;de
Wädenswil;8820;0;Wädenswil;293;ZH;2693383.3550000004;1231571.7030000016;de
Schönenberg ZH;8824;0;Wädenswil;293;ZH;2691422.017000001;1227586.4679999985;de
Hütten;8825;0;Wädenswil;293;ZH;2693268.4919999987;1225696.7259999998;de
Elgg;8353;0;Elgg;294;ZH;2707682.2129999995;1260915.7729999982;de
Hofstetten ZH;8354;0;Elgg;294;ZH;2706672.2639999986;1258998.3790000007;de
Dickbuch;8354;1;Elgg;294;ZH;2704962.920000002;1261558.0590000004;de
Sihlbrugg Station;8135;2;Horgen;295;ZH;2686207.2589999996;1232655.4549999982;de
Sihlwald;8135;3;Horgen;295;ZH;2684670.6259999983;1235867.8740000017;de
Horgen;8810;0;Horgen;295;ZH;2687701.655000001;1234937.7780000009;de
Horgenberg;8815;0;Horgen;295;ZH;2686699.5540000014;1233626.5949999988;de
Hirzel;8816;0;Horgen;295;ZH;2688474.5929999985;1230223.9010000005;de
Effretikon;8307;0;Illnau-Effretikon;296;ZH;2694372.704999998;1253790.7459999993;de
Ottikon b. Kemptthal;8307;2;Illnau-Effretikon;296;ZH;2696427.4849999994;1254549.8489999995;de
Illnau;8308;0;Illnau-Effretikon;296;ZH;2696907.795000002;1251697.4580000006;de
Agasul;8308;2;Illnau-Effretikon;296;ZH;2698440.234000001;1253527.370000001;de
Kyburg;8314;0;Illnau-Effretikon;296;ZH;2698482.653999999;1257152.5130000003;de
Saland;8493;0;Bauma;297;ZH;2706818.761;1249883.7289999984;de
Bauma;8494;0;Bauma;297;ZH;2708661.1559999995;1247267.620000001;de
Sternenberg;8499;0;Bauma;297;ZH;2711225.658;1249540.796;de
Wiesendangen;8542;0;Wiesendangen;298;ZH;2701740.8390000015;1264266.5439999998;de
Bertschikon;8543;0;Wiesendangen;298;ZH;2703612.1180000007;1264915.7430000007;de
Gundetswil;8543;1;Wiesendangen;298;ZH;2704176.039999999;1266375.9530000016;de
Kefikon ZH;8543;2;Wiesendangen;298;ZH;2704811.598000001;1267392.8489999995;de
Attikon;8544;0;Wiesendangen;298;ZH;2702348.7540000007;1265902.114;de
Menzengrüt;8546;3;Wiesendangen;298;ZH;2704120.239;1267465.0529999994;de
Aarberg;3270;0;Aarberg;301;BE;2587587.5150000006;1210292.322999999;de
Bargen BE;3282;0;Bargen (BE);302;BE;2586219.0130000003;1209918.7380000018;de
Grossaffoltern;3257;0;Grossaffoltern;303;BE;2593938.2459999993;1212749.2800000012;de
Ammerzwil BE;3257;1;Grossaffoltern;303;BE;2592620.7239999995;1213398.0249999985;de
Suberg;3262;0;Grossaffoltern;303;BE;2592420.300999999;1212034.6889999993;de
Golaten;3207;2;Kallnach;304;BE;2585060.7509999983;1203868.2980000004;de
Kallnach;3283;0;Kallnach;304;BE;2584135.732999999;1207439.2129999995;de
Niederried b. Kallnach;3283;2;Kallnach;304;BE;2585837.1559999995;1206627.1380000003;de
Kappelen;3273;0;Kappelen;305;BE;2587005.1689999998;1212144.6110000014;de
Lyss;3250;0;Lyss;306;BE;2590040.3440000005;1213293.261;de
Busswil BE;3292;0;Lyss;306;BE;2591179.028999999;1216628.4759999998;de
Ortschwaben;3042;0;Meikirch;307;BE;2597205.397;1204392.4959999993;de
Meikirch;3045;0;Meikirch;307;BE;2594221.7239999995;1206480.164999999;de
Wahlendorf;3046;0;Meikirch;307;BE;2592335.1889999993;1206301.1900000013;de
Detligen;3036;0;Radelfingen;309;BE;2587387.041000001;1205645.0659999996;de
Radelfingen b. Aarberg;3271;0;Radelfingen;309;BE;2587107.9750000015;1207882.745000001;de
